palin,name,short,active
01000000000,Адыгея,Респ,1
02000000000,Башкортостан,Респ,1
05000000000,Дагестан,Респ,1
04000000000,Алтай,Респ,1
03000000000,Бурятия,Респ,1
09000000000,Карачаево-Черкесская,Респ,1
08000000000,Калмыкия,Респ,1
06000000000,Ингушетия,Респ,1
07000000000,Кабардино-Балкарская,Респ,1
10000000000,Карелия,Респ,1
11000000000,Коми,Респ,1
12000000000,"Марий Эл",Респ,1
14000000000,"Саха /Якутия/",Респ,1
13000000000,Мордовия,Респ,1
15000000000,"Северная Осетия - Алания",Респ,1
16000000000,Татарстан,Респ,1
18000000000,Удмуртская,Респ,1
17000000000,Тыва,Респ,1
19000000000,Хакасия,Респ,1
20000000000,Чеченская,Респ,1
21000000000,"Чувашская Республика -",Чувашия,1
22000000000,Алтайский,край,1
23000000000,Краснодарский,край,1
24000000000,Красноярский,край,1
25000000000,Приморский,край,1
26000000000,Ставропольский,край,1
28000000000,Амурская,обл,1
29000000000,Архангельская,обл,1
27000000000,Хабаровский,край,1
31000000000,Белгородская,обл,1
30000000000,Астраханская,обл,1
32000000000,Брянская,обл,1
33000000000,Владимирская,обл,1
34000000000,Волгоградская,обл,1
36000000000,Воронежская,обл,1
35000000000,Вологодская,обл,1
37000000000,Ивановская,обл,1
38000000000,Иркутская,обл,1
39000000000,Калининградская,обл,1
41000000000,Камчатский,край,1
40000000000,Калужская,обл,1
42000000000,Кемеровская,обл,1
43000000000,Кировская,обл,1
44000000000,Костромская,обл,1
46000000000,Курская,обл,1
45000000000,Курганская,обл,1
47000000000,Ленинградская,обл,1
48000000000,Липецкая,обл,1
50000000000,Московская,обл,1
49000000000,Магаданская,обл,1
51000000000,Мурманская,обл,1
52000000000,Нижегородская,обл,1
54000000000,Новосибирская,обл,1
53000000000,Новгородская,обл,1
55000000000,Омская,обл,1
56000000000,Оренбургская,обл,1
57000000000,Орловская,обл,1
58000000000,Пензенская,обл,1
59000000000,Пермский,край,1
60000000000,Псковская,обл,1
61000000000,Ростовская,обл,1
62000000000,Рязанская,обл,1
63000000000,Самарская,обл,1
64000000000,Саратовская,обл,1
66000000000,Свердловская,обл,1
65000000000,Сахалинская,обл,1
67000000000,Смоленская,обл,1
68000000000,Тамбовская,обл,1
69000000000,Тверская,обл,1
70000000000,Томская,обл,1
71000000000,Тульская,обл,1
72000000000,Тюменская,обл,1
73000000000,Ульяновская,обл,1
74000000000,Челябинская,обл,1
76000000000,Ярославская,обл,1
75000000000,Забайкальский,край,1
77000000000,Москва,г,1
79000000000,Еврейская,Аобл,1
89000000000,Ямало-Ненецкий,АО,1
86000000000,"Ханты-Мансийский Автономный округ - Югра",АО,1
87000000000,Чукотский,АО,1
83000000000,Ненецкий,АО,1
78000000000,Санкт-Петербург,г,1
91000000000,Крым,Респ,1
99000000000,Байконур,г,1
92000000000,Севастополь,г,1
